13a24939-7092-424d-9e0f-1493c8113e31,Donald tusk,ireland idea,ask uk for
13a24939-7092-424d-9e0f-1493c8113e31,Donald tusk,better northern ireland idea,ask uk for
13a24939-7092-424d-9e0f-1493c8113e31,Donald tusk,better ireland idea,ask uk for
13a24939-7092-424d-9e0f-1493c8113e31,Donald tusk,northern ireland idea,ask uk for
13a24939-7092-424d-9e0f-1493c8113e31,Donald tusk,uk,ask
13a24939-7092-424d-9e0f-1493c8113e31,eu,controversial plan prevent,than
13a24939-7092-424d-9e0f-1493c8113e31,hard border,northern ireland,be in
13a24939-7092-424d-9e0f-1493c8113e31,pm,eu 's customs area,keep ireland in
13a24939-7092-424d-9e0f-1493c8113e31,pm,northern ireland,keep
13a24939-7092-424d-9e0f-1493c8113e31,pm,ireland,keep
13a24939-7092-424d-9e0f-1493c8113e31,eu,customs area,in
164064a6-967d-4ae8-9b03-b290366d5edd,Leveson,phone hack victims,break promise to
164064a6-967d-4ae8-9b03-b290366d5edd,Leveson,minsters,accuse
164064a6-967d-4ae8-9b03-b290366d5edd,Leveson,promise,break
164064a6-967d-4ae8-9b03-b290366d5edd,Lord justice leveson,minister,accuse
164064a6-967d-4ae8-9b03-b290366d5edd,Culture secretary matt hancock,move,announce
164064a6-967d-4ae8-9b03-b290366d5edd,Culture secretary matt hancock,move earlier,announce
c961d924-6e2e-4808-ae73-4d2499f446ec,Labour,claim,suspend ken livingstone indefinitely over
c961d924-6e2e-4808-ae73-4d2499f446ec,Labour,ken livingstone,suspend
c961d924-6e2e-4808-ae73-4d2499f446ec,Labour,ken livingstone,suspend indefinitely
c961d924-6e2e-4808-ae73-4d2499f446ec,Labour,anti-semitism claim,suspend ken livingstone over
c961d924-6e2e-4808-ae73-4d2499f446ec,Labour,claim,suspend ken livingstone over
c961d924-6e2e-4808-ae73-4d2499f446ec,Labour,anti-semitism claim,suspend ken livingstone indefinitely over
c961d924-6e2e-4808-ae73-4d2499f446ec,Ken livingstone 's suspension,outcome,indefinitely pending
c961d924-6e2e-4808-ae73-4d2499f446ec,Ken livingstone,suspension from labour over anti-semitism claim,have
c961d924-6e2e-4808-ae73-4d2499f446ec,Ken livingstone 's suspension,outcome of investigation,pending
c961d924-6e2e-4808-ae73-4d2499f446ec,Ken livingstone 's suspension,outcome,pending
c961d924-6e2e-4808-ae73-4d2499f446ec,Ken livingstone 's suspension,outcome of internal investigation,indefinitely pending
c961d924-6e2e-4808-ae73-4d2499f446ec,Ken livingstone 's suspension,outcome of investigation,indefinitely pending
c961d924-6e2e-4808-ae73-4d2499f446ec,Ken livingstone 's suspension,have extend,have
c961d924-6e2e-4808-ae73-4d2499f446ec,Ken livingstone 's suspension,outcome of internal investigation,pending
c961d924-6e2e-4808-ae73-4d2499f446ec,former london mayor 's suspension,27 april,expire on
c961d924-6e2e-4808-ae73-4d2499f446ec,former london mayor,suspension,have
c961d924-6e2e-4808-ae73-4d2499f446ec,former london mayor 's suspension,have due,have
38c54fc6-37d9-4576-989b-aea285ca5c69,mr jones,visit,Speaking on
38c54fc6-37d9-4576-989b-aea285ca5c69,mr jones,visit to us,Speaking on
8fbfeb38-82ec-4db7-bf7b-2a779135a99a,matt hancock ax,second stage,propose
8fbfeb38-82ec-4db7-bf7b-2a779135a99a,matt hancock ax,stage,propose
8fbfeb38-82ec-4db7-bf7b-2a779135a99a,inquiry,relations between journalists,examine
8fbfeb38-82ec-4db7-bf7b-2a779135a99a,inquiry,due,be
8fbfeb38-82ec-4db7-bf7b-2a779135a99a,inquiry,relations,examine
1888be7a-e55c-47f2-9458-97fad27d1777,back,his father sir oswald mosley 's union movement,candidate for
1888be7a-e55c-47f2-9458-97fad27d1777,father sir oswald mosley,union movement,for
1888be7a-e55c-47f2-9458-97fad27d1777,children,health,have
1888be7a-e55c-47f2-9458-97fad27d1777,leaflet,candidate for his father sir oswald mosley 's union movement,back
1888be7a-e55c-47f2-9458-97fad27d1777,leaflet,candidate,back
